origins,destinations,counts,lon_o,lat_o,lon_d,lat_d
Pacific Ocean,Marineland of the Pacific,4,-124.508523,-8.783195,-118.3980757,33.7363084
Point Defiance Zoo,Shedd Aquarium,4,-122.5208211,47.3048779,-87.614038,41.8675726
SeaWorld San Antonio,Georgia Aquarium,4,-98.69931509999999,29.4584176,-84.3951098,33.763382
SeaWorld San Antonio,Texas State Aquarium,4,-98.69931509999999,29.4584176,-97.39196919999999,27.8137645
SeaWorld San Diego,Georgia Aquarium,4,-117.2266083,32.7647903,-84.3951098,33.763382
Shedd Aquarium,Miami Seaquarium,4,-87.614038,41.8675726,-80.1648518,25.7342958
Six Flags Discovery Kingdom,Six Flags Discovery Kingdom,4,-122.2340155,38.13819549999999,-122.2340155,38.13819549999999
Texas State Aquarium,Indianapolis Zoo,4,-97.39196919999999,27.8137645,-86.18073,39.767442
Texas State Aquarium,SeaWorld San Antonio,4,-97.39196919999999,27.8137645,-98.69931509999999,29.4584176
Atlantic Ocean,Marineland of Florida,3,-28.6731465,-14.5994134,-81.213398,29.6688614
"Avalon Beach, Florida",Harbor Branch Institute,3,-87.1016345,30.5301956,-80.3600221,27.5351376
"Dolphin Connection, Florida",Milwaukee County Zoo,3,-80.9096457,24.7764696,-88.0409553,43.0312884
"Dolphin Connection, Florida",SeaWorld Orlando,3,-80.9096457,24.7764696,-81.4617047,28.4114555
Dolphin Quest Bermuda,Georgia Aquarium,3,-64.832494,32.328178,-84.3951098,33.763382
Dolphin Research Center,Brookfield Zoo,3,-74.9064696,38.9513858,-87.8357137,41.8328916
Florida,Florida,3,-81.5157535,27.6648274,-81.5157535,27.6648274
Florida,Miami Seaquarium,3,-81.5157535,27.6648274,-80.1648518,25.7342958
Florida,New York Aquarium,3,-81.5157535,27.6648274,-73.9748754,40.5742632
Georgia Aquarium,SeaWorld San Antonio,3,-84.3951098,33.763382,-98.69931509999999,29.4584176
Gulf of Mexico,"Dolphin Connection, Florida",3,-90.065918,25.304304,-80.9096457,24.7764696
Gulf of Mexico,Marineland of Florida,3,-90.065918,25.304304,-81.213398,29.6688614
Gulf of Mexico,Quinlan Marine Attractions,3,-90.065918,25.304304,-96.13552949999999,32.9103998
"Hudson Bay, Manitoba",Shedd Aquarium,3,-98.647012899999993,49.1963343,-87.614038,41.8675726
"Hudson Bay, Manitoba",Vancouver Aquarium,3,-98.647012899999993,49.1963343,-123.1309293,49.3007961
Japan,SeaWorld,3,138.252924,36.204824,-81.4617047,28.4114555
Marine Animal Productions,Dolphin Research Center,3,-89.0187972,30.4204487,-74.9064696,38.9513858
Marineland of Canada,SeaWorld San Diego,3,-79.07060059999999,43.0649729,-117.2266083,32.7647903
Marineland of the Pacific,Marineland of Florida,3,-118.3980757,33.7363084,-81.213398,29.6688614
Milwaukee County Zoo,"Dolphin Connection, Florida",3,-88.0409553,43.0312884,-80.9096457,24.7764696
Montreal Aquarium,Dolphin Research Center,3,-73.652413,45.567919,-74.9064696,38.9513858
National Aquarium in Baltimore,New York Aquarium,3,-76.6082871,39.2850948,-73.9748754,40.5742632
National Aquarium in Baltimore,SeaWorld Aurora,3,-76.6082871,39.2850948,-81.36843999999999,41.34552
Naval Base Point Loma,Sugarloaf Dolphin Sanctuary,3,-117.2400346,32.6889711,-76.6082871,39.2850948
New York Aquarium,Georgia Aquarium,3,-73.9748754,40.5742632,-84.3951098,33.763382
New York Aquarium,SeaWorld Orlando,3,-73.9748754,40.5742632,-81.4617047,28.4114555
North Atlantic,Hafnarfjordur Aquarium,3,-28.6731465,-14.5994134,-21.9554001,64.0678342
Pacific Ocean,SeaWorld,3,-124.508523,-8.783195,-81.4617047,28.4114555
Point Defiance Zoo,Marineland of the Pacific,3,-122.5208211,47.3048779,-118.3980757,33.7363084
Sea Life Park,Naval Base Point Loma,3,-94.5814528,39.0820485,-117.2400346,32.6889711
SeaWorld Orlando,Naval Base Point Loma,3,-81.4617047,28.4114555,-117.2400346,32.6889711
Six Flags Discovery Kingdom,"Compano Bay, Texas",3,-122.2340155,38.13819549999999,-97.1036396,28.1271802
Six Flags Over Texas,Brookfield Zoo,3,-97.0711714,32.7551732,-87.8357137,41.8328916
Vancouver Aquarium,SeaWorld San Diego,3,-123.1309293,49.3007961,-117.2266083,32.7647903
Atlantic Ocean,Miami Seaquarium,2,-28.6731465,-14.5994134,-80.1648518,25.7342958
Atlantic Ocean,Point Defiance Zoo,2,-28.6731465,-14.5994134,-122.5208211,47.3048779
Busch Gardens Tampa,National Aquarium in Baltimore,2,-82.41949009999999,28.0372161,-76.6082871,39.2850948
"Chile, Straits of Magellan",Chile,2,-70.759749,-53.58881719999999,-71.542969,-35.675147
Clearwater Marine Aquarium,SeaWorld Orlando,2,-82.8191129,27.9768545,-81.4617047,28.4114555
"Cudjoe Key, Florida",Marine Mammal Conservancy,2,-81.4984176,24.6715318,-80.41734199999999,25.122698
Discovery Cove Orlando,SeaWorld San Diego,2,-81.4597077,28.4060928,-117.2266083,32.7647903
Dolfinarium Harderwijk,SeaWorld Orlando,2,5.6171798,52.3541391,-81.4617047,28.4114555
Dolfinarium Harderwijk,SeaWorld San Diego,2,5.6171798,52.3541391,-117.2266083,32.7647903
"Dolphin Connection, Florida",Lisbon Zoo,2,-80.9096457,24.7764696,-9.1707172,38.7443615
Dolphin Quest Bermuda,Brookfield Zoo,2,-64.832494,32.328178,-87.8357137,41.8328916
Dolphin Quest Bermuda,Dolphin Quest Hawaii,2,-64.832494,32.328178,-155.889022,19.925505
Dolphin Quest Bermuda,EPCOT,2,-64.832494,32.328178,-81.549404,28.374694
Dolphin Quest Hawaii,Dolphin Quest Hawaii,2,-155.889022,19.925505,-155.889022,19.925505
Dolphin Quest Hawaii,Dolphinaris Arizona,2,-155.889022,19.925505,-111.877366,33.5553703
Dolphin Quest Oahu, Dolphinaris Arizona,2,-157.773445,21.271999,-111.877366,33.5553703
Dolphin Quest Oahu,Dolphinaris Arizona,2,-157.773445,21.271999,-111.877366,33.5553703
Dolphin Research Center,National Aquarium in Baltimore,2,-74.9064696,38.9513858,-76.6082871,39.2850948
Dolphin Research Center,New England Aquarium,2,-74.9064696,38.9513858,-71.0497542,42.3591346
Dolphin Research Center,University of Guelph,2,-74.9064696,38.9513858,-80.2262444,43.5328929
Duisburg Zoo,SeaWorld San Diego,2,6.8061729,51.4362611,-117.2266083,32.7647903
EPCOT,Naval Base Point Loma,2,-81.549404,28.374694,-117.2400346,32.6889711
Florida,"Dolphin Connection, Florida",2,-81.5157535,27.6648274,-80.9096457,24.7764696
Florida,Marine Animal Productions,2,-81.5157535,27.6648274,-89.0187972,30.4204487
Florida,Montreal Aquarium,2,-81.5157535,27.6648274,-73.652413,45.567919
Georgia Aquarium,Marineland of Florida,2,-84.3951098,33.763382,-81.213398,29.6688614
Georgia Aquarium,Shedd Aquarium,2,-84.3951098,33.763382,-87.614038,41.8675726
Gulf of California,SeaWorld San Diego,2,-110.7122465,26.7312935,-117.2266083,32.7647903
Gulfarium,Gulf World Marine Park,2,-86.593546,30.394468,-85.8671863,30.2111627
"Hudson Bay, Manitoba",SeaWorld San Antonio,2,-98.647012899999993,49.1963343,-98.69931509999999,29.4584176
Lisbon Zoo,Brookfield Zoo,2,-9.1707172,38.7443615,-87.8357137,41.8328916
Long Marine Laboratory,Dolphin Research Center,2,-122.0655899,36.9496812,-74.9064696,38.9513858
Marine Mammal Conservancy,SeaWorld Orlando,2,-80.41734199999999,25.122698,-81.4617047,28.4114555
Miami Seaquarium,Brookfield Zoo,2,-80.1648518,25.7342958,-87.8357137,41.8328916
Mote Marine Laboratory,Clearwater Marine Aquarium,2,-82.57789729999999,27.3333406,-82.8191129,27.9768545
Mystic Aquarium,Miami Seaquarium,2,-71.9532523,41.373346,-80.1648518,25.7342958
Mystic Aquarium,New York Aquarium,2,-71.9532523,41.373346,-73.9748754,40.5742632
National Aquarium in Baltimore,SeaWorld San Antonio,2,-76.6082871,39.2850948,-98.69931509999999,29.4584176
National Aquarium in Baltimore,Texas State Aquarium,2,-76.6082871,39.2850948,-97.39196919999999,27.8137645
Naval Base Point Loma,EPCOT,2,-117.2400346,32.6889711,-81.549404,28.374694
Naval Base Point Loma,Gulfarium,2,-117.2400346,32.6889711,-86.593546,30.394468
Naval Base Point Loma,Inst. of Marine Mammal Studies,2,-117.2400346,32.6889711,-89.0187972,30.4204487
Naval Base Point Loma,Long Marine Laboratory,2,-117.2400346,32.6889711,-122.0655899,36.9496812
Naval Base Point Loma,New England Aquarium,2,-117.2400346,32.6889711,-71.0497542,42.3591346
Naval Base Point Loma,Sea Life Park,2,-117.2400346,32.6889711,-94.5814528,39.0820485
New England Aquarium,Dolphin Research Center,2,-71.0497542,42.3591346,-74.9064696,38.9513858
New England Aquarium,Naval Base Point Loma,2,-71.0497542,42.3591346,-117.2400346,32.6889711
New York Aquarium,Mystic Aquarium,2,-73.9748754,40.5742632,-71.9532523,41.373346
Pacific Ocean,Steinhart Aquarium,2,-124.508523,-8.783195,-122.466105,37.7698293
Puget Sound,Seattle Marine Aquarium,2,-122.4713352,47.7236535,-122.3429996,47.607445
Quinlan Marine Attractions,"Dolphin Connection, Florida",2,-96.13552949999999,32.9103998,-80.9096457,24.7764696
"Sanibel Island, Florida",Mote Marine Laboratory,2,-82.1115119,26.4433972,-82.57789729999999,27.3333406
Sea Life Park,Dolphin Quest Oahu,2,-94.5814528,39.0820485,-157.773445,21.271999
SeaWorld,SeaWorld Orlando,2,-81.4617047,28.4114555,-81.4617047,28.4114555
SeaWorld Orlando,Clearwater Marine Aquarium,2,-81.4617047,28.4114555,-82.8191129,27.9768545
SeaWorld Orlando,Georgia Aquarium,2,-81.4617047,28.4114555,-84.3951098,33.763382
SeaWorld Orlando,Mirage Dolphin Habitat,2,-81.4617047,28.4114555,-115.1784079,36.1203291
SeaWorld Orlando,SeaWorld Orlando,2,-81.4617047,28.4114555,-81.4617047,28.4114555
SeaWorld Orlando,Texas State Aquarium,2,-81.4617047,28.4114555,-97.39196919999999,27.8137645
SeaWorld Orlando,Theater of the Sea,2,-81.4617047,28.4114555,-71.5627531,41.3770733
SeaWorld San Antonio,Six Flags Discovery Kingdom,2,-98.69931509999999,29.4584176,-122.2340155,38.13819549999999
SeaWorld San Diego,New England Aquarium,2,-117.2266083,32.7647903,-71.0497542,42.3591346
SeaWorld San Diego,Six Flags Discovery Kingdom,2,-117.2266083,32.7647903,-122.2340155,38.13819549999999
Six Flags Great Adventure,Six Flags Discovery Kingdom,2,-74.4402149,40.1370678,-122.2340155,38.13819549999999
Steinhart Aquarium,SeaWorld San Antonio,2,-122.466105,37.7698293,-98.69931509999999,29.4584176
TMMSN,SeaWorld San Antonio,2,-94.8139686,29.2758286,-98.69931509999999,29.4584176
UNEXSO Dolphin Experience,Georgia Aquarium,2,-78.641042,26.514078,-84.3951098,33.763382
University of Guelph,New England Aquarium,2,-80.2262444,43.5328929,-71.0497542,42.3591346
"Amazon River, Peru",Marineland of Florida,1,-60.6646509,-3.2996216,-81.213398,29.6688614
Aquarium of Niagara Falls,Marineland of the Pacific,1,-79.060138,43.09431,-118.3980757,33.7363084
Aquarium of Niagara Falls,New England Aquarium,1,-79.060138,43.09431,-71.0497542,42.3591346
Argentina,Duisburg Zoo,1,-63.61667199999999,-38.416097,6.8061729,51.4362611
Atlantic Ocean,Brookfield Zoo,1,-28.6731465,-14.5994134,-87.8357137,41.8328916
Atlantic Ocean,Dolphin Quest Hawaii,1,-28.6731465,-14.5994134,-155.889022,19.925505
Atlantic Ocean,Dolphin Research Center,1,-28.6731465,-14.5994134,-74.9064696,38.9513858
Atlantic Ocean,New England Aquarium,1,-28.6731465,-14.5994134,-71.0497542,42.3591346
Atlantic Ocean,Ocean World Ft Lauderdale,1,-28.6731465,-14.5994134,-80.11270549999999,26.5708925
Atlantic Ocean,Sealand of Cape Cod,1,-28.6731465,-14.5994134,-70.29624079999999,41.6687897
Atlantic Ocean,Shark World Aquatarium,1,-28.6731465,-14.5994134,-75.6826741,44.5876895
Audubon Aquarium,Dolphin Research Center,1,-90.06293869999999,29.950508,-74.9064696,38.9513858
Audubon Aquarium,Inst. of Marine Mammal Studies,1,-90.06293869999999,29.950508,-89.0187972,30.4204487
"Bolivar Peninsula, Texas",Texas Marine Mammal Stranding Network,1,-94.5799145,29.4782878,-94.8139686,29.2758286
Brookfield Zoo,EPCOT,1,-87.8357137,41.8328916,-81.549404,28.374694
Brookfield Zoo,Texas State Aquarium,1,-87.8357137,41.8328916,-97.39196919999999,27.8137645
"Bullfrog Creek, Florida",Clearwater Marine Aquarium,1,-82.3502403,27.7947922,-82.8191129,27.9768545
Busch Gardens Tampa,Discovery Cove Orlando,1,-82.41949009999999,28.0372161,-81.4597077,28.4060928
Busch Gardens Tampa,"Dolphin Connection, Florida",1,-82.41949009999999,28.0372161,-80.9096457,24.7764696
Carr Inlet,Seattle Marine Aquarium,1,-122.7026778,47.2665812,-122.3429996,47.607445
Cedar Point,Dolphin Research Center,1,-82.6835206,41.482207,-74.9064696,38.9513858
"Churchill Oaks, Louisiana",Audubon Aquarium,1,-86.247351,30.3888707,-90.06293869999999,29.950508
"Clearwater Beach, Florida",Clearwater Marine Aquarium,1,-82.8285877,27.972065,-82.8191129,27.9768545
Clearwater Marine Aquarium,Dolphin Research Center,1,-82.8191129,27.9768545,-74.9064696,38.9513858
"Corpus Christi, Texas","Texas State Aquarium, Sea Lab",1,-97.39638099999999,27.8005828,-97.39196919999999,27.8137645
"Curacao, Caribbean",Dolphin Academy,1,-68.99002,12.16957,-82.1229824,33.5234437
Discovery Cove Orlando,Discovery Cove Orlando,1,-81.4597077,28.4060928,-81.4597077,28.4060928
Discovery Cove Orlando,SeaWorld San Antonio,1,-81.4597077,28.4060928,-98.69931509999999,29.4584176
Dolfinarium Harderwijk,Windsor Safari Park,1,5.6171798,52.3541391,-0.6187676999999999,51.4667179
Dolphin Academy,SeaWorld San Diego,1,-82.1229824,33.5234437,-117.2266083,32.7647903
"Dolphin Connection, Florida",Dolphin Quest Bermuda,1,-80.9096457,24.7764696,-64.832494,32.328178
"Dolphin Connection, Florida",EPCOT,1,-80.9096457,24.7764696,-81.549404,28.374694
"Dolphin Connection, Florida",Minnesota Zoo,1,-80.9096457,24.7764696,-93.19667179999999,44.767807
Dolphin Research Center,Montreal Aquarium,1,-74.9064696,38.9513858,-73.652413,45.567919
Dolphin Research Center,New York Aquarium,1,-74.9064696,38.9513858,-73.9748754,40.5742632
Dolphin Research Center,Theater of the Sea,1,-74.9064696,38.9513858,-71.5627531,41.3770733
"Dolphin Resort, Dominica",Dolphins Plus,1,-61.4403695,15.4362912,-80.41895989999999,25.1189869
Dolphins Plus,"Prospect Reef Resort, Tortola",1,-80.41895989999999,25.1189869,-64.63327819999999,18.4334704
Dolphins Plus,Theater of the Sea,1,-80.41895989999999,25.1189869,-71.5627531,41.3770733
Florida,Marineland of the Pacific,1,-81.5157535,27.6648274,-118.3980757,33.7363084
Florida,"MARS, Keys Marine Lab",1,-81.5157535,27.6648274,-80.8139384,24.8263277
Florida,Point Defiance Zoo,1,-81.5157535,27.6648274,-122.5208211,47.3048779
Florida,Quinlan Marine Attractions,1,-81.5157535,27.6648274,-96.13552949999999,32.9103998
Florida,Santini's Dolphin Research Center,1,-81.5157535,27.6648274,-80.945509,24.766967
Florida,Sugarloaf Dolphin Sanctuary,1,-81.5157535,27.6648274,-76.6082871,39.2850948
Florida,to SeaWorld Orlando,1,-81.5157535,27.6648274,-81.4617047,28.4114555
Florida,West Edmonton Mall,1,-81.5157535,27.6648274,-113.6241906,53.5225151
"Florida, Gulf Coast",Marine Animal Productions,1,-81.7733903,26.4643209,-89.0187972,30.4204487
"Florida, Gulf Coast","Private owner, Punta Gorda",1,-81.7733903,26.4643209,-82.0453664,26.9297836
"Fort Pierce, Florida","Fort Pierce, Florida",1,-80.3256056,27.4467056,-80.3256056,27.4467056
"Fort Pierce, Florida",Marine Mammal Conservancy,1,-80.3256056,27.4467056,-80.41734199999999,25.122698
"Fourchon Beach, Louisiana",Audubon Aquarium,1,-90.1812288,29.1081231,-90.06293869999999,29.950508
Grindavik Harbor,Dolfinarium Harderwijk,1,-22.4247121,63.8400911,5.6171798,52.3541391
Gulf of Mexico,Audubon Zoo,1,-90.065918,25.304304,-90.1313766,29.9237134
Gulf of Mexico,Brookfield Zoo,1,-90.065918,25.304304,-87.8357137,41.8328916
Gulf of Mexico,Gulf World Marine Park,1,-90.065918,25.304304,-85.8671863,30.2111627
Gulf of Mexico,possibly Marine Animal Productions,1,-90.065918,25.304304,-89.0187972,30.4204487
"Gulf Shores, Alabama",Inst. of Marine Mammal Studies,1,-87.70081929999999,30.2460361,-89.0187972,30.4204487
Gulf World Marine Park,Clearwater Marine Aquarium,1,-85.8671863,30.2111627,-82.8191129,27.9768545
Gulf World Marine Park,Dolphin Research Center,1,-85.8671863,30.2111627,-74.9064696,38.9513858
Gulf World Marine Park,Marineland of Florida,1,-85.8671863,30.2111627,-81.213398,29.6688614
Gulf World Marine Park,Mirage Dolphin Habitat,1,-85.8671863,30.2111627,-115.1784079,36.1203291
Gulfarium,Six Flags Discovery Kingdom,1,-86.593546,30.394468,-122.2340155,38.13819549999999
Hafnarfjordur Aquarium,Sao Paulo Playcenter,1,-21.9554001,64.0678342,-46.5044526,-23.5660883
Hafnarfjordur Aquarium,SeaWorld San Diego,1,-21.9554001,64.0678342,-117.2266083,32.7647903
"Hudson Bay, Manitoba",Duisburg Zoo,1,-98.647012899999993,49.1963343,6.8061729,51.4362611
"Hudson Bay, Manitoba",Seattle Aquarium,1,-98.647012899999993,49.1963343,-122.3429996,47.607445
"Hull Aquarium, Mass.",Theater of the Sea,1,-71.0497542,42.3591346,-71.5627531,41.3770733
Iceland,Grindavik Harbor,1,-19.020835,64.963051,-22.4247121,63.8400911
Iceland,Vancouver Aquarium,1,-19.020835,64.963051,-123.1309293,49.3007961
"Indian River, Florida",Clearwater Marine Aquarium,1,-80.6431877,28.2142068,-82.8191129,27.9768545
"Indian Rocks Beach, Florida",Mote Marine Laboratory,1,-82.84656100000001,27.8960019,-82.57789729999999,27.3333406
Indianapolis Zoo,John G. Shedd Aquarium,1,-86.18073,39.767442,-87.614038,41.8675726
Indianapolis Zoo,SeaWorld Orlando,1,-86.18073,39.767442,-81.4617047,28.4114555
Indianapolis Zoo,Shedd Aquarium,1,-86.18073,39.767442,-87.614038,41.8675726
Inst. of Marine Mammal Studies,Naval Base Point Loma,1,-89.0187972,30.4204487,-117.2400346,32.6889711
"Jacksonville, Florida",Gulf World Marine Park,1,-81.65565099999999,30.3321838,-85.8671863,30.2111627
Japan,Indianapolis Zoo,1,138.252924,36.204824,-86.18073,39.767442
Japan,Naval Base Point Loma,1,138.252924,36.204824,-117.2400346,32.6889711
Japan,Seven Seas Texas,1,138.252924,36.204824,-95.2769379,29.80206
Japan,Taiji,1,138.252924,36.204824,-94.21867499999999,36.391527
John G. Shedd Aquarium,Indianapolis Zoo,1,-87.614038,41.8675726,-86.18073,39.767442
"Kahala Hilton, Pre-Dolphin Quest",Dolphin Quest Hawaii,1,-157.773445,21.271999,-155.889022,19.925505
Kahala Oriental Hotel,Sea Life Park,1,-157.773651,21.271847,-94.5814528,39.0820485
Key Largo Porpoise Pens,Theater of the Sea,1,-80.4472802,25.0865151,-71.5627531,41.3770733
